pc: 0.7000000000000002   ps: 0.08333333333333326   ph: 0.08333333333333326   pp: 0.1333333333333333   p_coef: 0.0015   div(X0, 0.235)   length: 3   depth: 1   mae: 0.027426497624990276
pc: 0.6000000000000001   ps: 0.12666666666666662   ph: 0.12666666666666662   pp: 0.1466666666666667   p_coef: 0.001   add(add(X1, X1), sqrt(0.851))   length: 6   depth: 2   mae: 0.0227471758841675
pc: 0.6500000000000001   ps: 0.11333333333333329   ph: 0.11333333333333329   pp: 0.1233333333333333   p_coef: 0.0015   add(sub(X1, -0.922), X1)   length: 5   depth: 2   mae: 0.022754157712886802
pc: 0.5   ps: 0.15   ph: 0.15   pp: 0.19999999999999998   p_coef: 0.001   sub(sqrt(-0.970), div(X1, -0.544))   length: 6   depth: 2   mae: 0.02275427148156676
pc: 0.7000000000000002   ps: 0.08333333333333326   ph: 0.08333333333333326   pp: 0.1333333333333333   p_coef: 0.0005   add(add(X1, X1), 0.923)   length: 5   depth: 2   mae: 0.022757821333098435
pc: 0.9000000000000004   ps: 0.016666666666666555   ph: 0.016666666666666555   pp: 0.06666666666666654   p_coef: 0.0015   add(sqrt(-0.988), div(X1, 0.549))   length: 6   depth: 2   mae: 0.022758454938131778
pc: 0.6500000000000001   ps: 0.11666666666666663   ph: 0.11666666666666663   pp: 0.1166666666666666   p_coef: 0.0015   add(add(X1, X1), 0.922)   length: 5   depth: 2   mae: 0.022774945265164263
pc: 0.5   ps: 0.15   ph: 0.15   pp: 0.19999999999999998   p_coef: 0.0015   add(sqrt(X2), sub(X1, -0.777))   length: 6   depth: 2   mae: 0.02277869915378144
pc: 0.55   ps: 0.14666666666666664   ph: 0.14666666666666664   pp: 0.1566666666666667   p_coef: 0.001   add(sub(X1, -0.923), X1)   length: 5   depth: 2   mae: 0.022783763143819358
pc: 0.8500000000000003   ps: 0.04666666666666656   ph: 0.04666666666666656   pp: 0.05666666666666658   p_coef: 0.0015   add(sqrt(X2), add(0.777, X1))   length: 6   depth: 2   mae: 0.02279579769059882
pc: 0.5   ps: 0.15666666666666665   ph: 0.15666666666666665   pp: 0.18666666666666673   p_coef: 0.0005   add(add(X1, 0.922), X1)   length: 5   depth: 2   mae: 0.02285323428107639
pc: 0.5   ps: 0.15666666666666665   ph: 0.15666666666666665   pp: 0.18666666666666673   p_coef: 0.001   add(add(X1, 0.915), X0)   length: 5   depth: 2   mae: 0.0228564814814814
pc: 0.55   ps: 0.15   ph: 0.15   pp: 0.14999999999999994   p_coef: 0.001   add(X0, add(X1, 0.917))   length: 5   depth: 2   mae: 0.0228564814814814
pc: 0.8000000000000003   ps: 0.05999999999999991   ph: 0.05999999999999991   pp: 0.0799999999999999   p_coef: 0.0015   add(sub(X1, -0.917), X0)   length: 5   depth: 2   mae: 0.0228564814814814
pc: 0.8000000000000003   ps: 0.05666666666666657   ph: 0.05666666666666657   pp: 0.08666666666666661   p_coef: 0.001   add(X0, add(X1, 0.916))   length: 5   depth: 2   mae: 0.0228564814814814
pc: 0.8500000000000003   ps: 0.03999999999999989   ph: 0.03999999999999989   pp: 0.0699999999999999   p_coef: 0.0015   add(X0, sub(X1, -0.916))   length: 5   depth: 2   mae: 0.0228564814814814
pc: 0.8500000000000003   ps: 0.043333333333333224   ph: 0.043333333333333224   pp: 0.06333333333333324   p_coef: 0.0005   sub(add(X1, X0), -0.916)   length: 5   depth: 2   mae: 0.02285648148148141
pc: 0.5   ps: 0.15333333333333332   ph: 0.15333333333333332   pp: 0.19333333333333336   p_coef: 0.001   add(add(X1, X0), sqrt(-0.837))   length: 6   depth: 2   mae: 0.022856481481481464
pc: 0.6000000000000001   ps: 0.11666666666666663   ph: 0.11666666666666663   pp: 0.16666666666666663   p_coef: 0.0015   sub(add(X1, X1), -0.924)   length: 5   depth: 2   mae: 0.022866758197906165
pc: 0.9000000000000004   ps: 0.02333333333333322   ph: 0.02333333333333322   pp: 0.053333333333333205   p_coef: 0.0005   add(add(0.683, X0), sqrt(X1))   length: 6   depth: 2   mae: 0.022897040565770403
pc: 0.6500000000000001   ps: 0.10666666666666662   ph: 0.10666666666666662   pp: 0.1366666666666666   p_coef: 0.001   add(sqrt(X2), add(X0, 0.771))   length: 6   depth: 2   mae: 0.022904631487209115
pc: 0.6000000000000001   ps: 0.1233333333333333   ph: 0.1233333333333333   pp: 0.15333333333333332   p_coef: 0.0005   add(X0, sub(X1, -0.914))   length: 5   depth: 2   mae: 0.022922414985969166
pc: 0.55   ps: 0.14666666666666664   ph: 0.14666666666666664   pp: 0.1566666666666667   p_coef: 0.0015   add(sub(X0, -0.914), X1)   length: 5   depth: 2   mae: 0.022926482785142324
pc: 0.6500000000000001   ps: 0.09999999999999994   ph: 0.09999999999999994   pp: 0.15000000000000002   p_coef: 0.0005   add(0.924, add(X1, X1))   length: 5   depth: 2   mae: 0.022935040892329943
pc: 0.6500000000000001   ps: 0.11333333333333329   ph: 0.11333333333333329   pp: 0.1233333333333333   p_coef: 0.0005   sub(sub(X1, -0.963), mul(-0.903, X1))   length: 7   depth: 2   mae: 0.022961769045719685
pc: 0.6500000000000001   ps: 0.09333333333333327   ph: 0.09333333333333327   pp: 0.16333333333333333   p_coef: 0.0015   add(X1, sub(X0, -0.914))   length: 5   depth: 2   mae: 0.022965350862779583
pc: 0.7500000000000002   ps: 0.07666666666666659   ph: 0.07666666666666659   pp: 0.09666666666666658   p_coef: 0.001   add(add(X0, X1), sqrt(0.844))   length: 6   depth: 2   mae: 0.022966760864769564
pc: 0.5   ps: 0.16333333333333333   ph: 0.16333333333333333   pp: 0.17333333333333334   p_coef: 0.0015   mul(sub(0.970, -0.717), add(X1, 0.620))   length: 7   depth: 2   mae: 0.02297889550266883
pc: 0.7000000000000002   ps: 0.08999999999999993   ph: 0.08999999999999993   pp: 0.11999999999999998   p_coef: 0.0005   add(div(X1, X1), div(X1, 0.556))   length: 7   depth: 2   mae: 0.02298534399742373
pc: 0.6000000000000001   ps: 0.10999999999999995   ph: 0.10999999999999995   pp: 0.18000000000000005   p_coef: 0.001   add(sqrt(X1), add(0.692, X1))   length: 6   depth: 2   mae: 0.023010288516772042
pc: 0.8000000000000003   ps: 0.06666666666666658   ph: 0.06666666666666658   pp: 0.06666666666666655   p_coef: 0.0005   add(sub(X0, -0.602), div(X0, 0.569))   length: 7   depth: 2   mae: 0.02304003824749121
pc: 0.6000000000000001   ps: 0.12666666666666662   ph: 0.12666666666666662   pp: 0.1466666666666667   p_coef: 0.001   div(add(0.656, X1), 0.614)   length: 5   depth: 2   mae: 0.023046381470829068
pc: 0.55   ps: 0.1433333333333333   ph: 0.1433333333333333   pp: 0.16333333333333333   p_coef: 0.001   add(sqrt(-0.971), div(X1, 0.545))   length: 6   depth: 2   mae: 0.023048756382883596
pc: 0.8500000000000003   ps: 0.033333333333333215   ph: 0.033333333333333215   pp: 0.08333333333333326   p_coef: 0.001   add(add(X0, X1), sqrt(-0.832))   length: 6   depth: 2   mae: 0.023109783218193222
pc: 0.7000000000000002   ps: 0.09999999999999994   ph: 0.09999999999999994   pp: 0.09999999999999996   p_coef: 0.001   add(add(0.687, X1), sqrt(X1))   length: 6   depth: 2   mae: 0.023120294387592305
pc: 0.8500000000000003   ps: 0.0499999999999999   ph: 0.0499999999999999   pp: 0.049999999999999885   p_coef: 0.0005   add(div(X1, 0.535), sqrt(-0.946))   length: 6   depth: 2   mae: 0.023128419641882815
pc: 0.7000000000000002   ps: 0.08333333333333326   ph: 0.08333333333333326   pp: 0.1333333333333333   p_coef: 0.001   add(sqrt(0.847), add(X1, X1))   length: 6   depth: 2   mae: 0.023142438736040754
pc: 0.5   ps: 0.16666666666666666   ph: 0.16666666666666666   pp: 0.1666666666666667   p_coef: 0.0005   add(sqrt(X1), add(0.688, X1))   length: 6   depth: 2   mae: 0.023148060170294357
pc: 0.7000000000000002   ps: 0.08333333333333326   ph: 0.08333333333333326   pp: 0.1333333333333333   p_coef: 0.0005   add(sqrt(X1), sub(X1, -0.686))   length: 6   depth: 2   mae: 0.023161439836852878
pc: 0.5   ps: 0.15666666666666665   ph: 0.15666666666666665   pp: 0.18666666666666673   p_coef: 0.0015   add(add(X0, 0.274), add(X2, 0.743))   length: 7   depth: 2   mae: 0.023162973600567256
pc: 0.5   ps: 0.16666666666666666   ph: 0.16666666666666666   pp: 0.1666666666666667   p_coef: 0.0015   add(sqrt(X1), sub(X1, -0.688))   length: 6   depth: 2   mae: 0.02316906282919621
pc: 0.7000000000000002   ps: 0.09666666666666661   ph: 0.09666666666666661   pp: 0.10666666666666659   p_coef: 0.001   add(add(X1, 0.686), sqrt(X1))   length: 6   depth: 2   mae: 0.023170264311354494
pc: 0.9000000000000004   ps: 0.02333333333333322   ph: 0.02333333333333322   pp: 0.053333333333333205   p_coef: 0.001   add(sqrt(X1), add(X1, 0.688))   length: 6   depth: 2   mae: 0.02317031676768282
pc: 0.55   ps: 0.14666666666666664   ph: 0.14666666666666664   pp: 0.1566666666666667   p_coef: 0.0005   sub(add(X1, X1), -0.926)   length: 5   depth: 2   mae: 0.023187896179931295
pc: 0.7500000000000002   ps: 0.06333333333333324   ph: 0.06333333333333324   pp: 0.1233333333333333   p_coef: 0.0005   add(add(X0, 0.617), add(X0, X2))   length: 7   depth: 2   mae: 0.02319595909221935
pc: 0.8000000000000003   ps: 0.05999999999999991   ph: 0.05999999999999991   pp: 0.0799999999999999   p_coef: 0.001   add(add(X0, 0.912), X1)   length: 5   depth: 2   mae: 0.023196862499759347
pc: 0.55   ps: 0.1333333333333333   ph: 0.1333333333333333   pp: 0.18333333333333335   p_coef: 0.0005   add(add(X1, 0.689), sqrt(X1))   length: 6   depth: 2   mae: 0.023205914953374394
pc: 0.6500000000000001   ps: 0.10333333333333328   ph: 0.10333333333333328   pp: 0.1433333333333333   p_coef: 0.001   add(div(X1, 0.557), 1.000)   length: 5   depth: 2   mae: 0.02320789269719819
pc: 0.6500000000000001   ps: 0.10333333333333328   ph: 0.10333333333333328   pp: 0.1433333333333333   p_coef: 0.001   add(sub(X0, -0.920), X1)   length: 5   depth: 2   mae: 0.023209046108773515
